Date,Leader Price,Follower Price,Cost
130,1.885351,1.812074,1
129,1.885351,1.874118,1
128,1.885351,1.793119,1
127,1.885351,1.826962,1
126,1.885351,1.830444,1
125,1.885351,1.830438,1
124,1.885351,1.790513,1
123,1.885351,1.799127,1
122,1.885351,1.860296,1
121,1.885351,1.801133,1
120,1.885351,1.813182,1
119,1.885351,1.814368,1
118,1.885351,1.804074,1
117,1.885351,1.80104,1
116,1.885351,1.791483,1
115,1.885351,1.84193,1
114,1.885351,1.817874,1
113,1.885351,1.788246,1
112,1.885351,1.787532,1
111,1.885351,1.8398,1
110,1.885351,1.795832,1
109,1.885351,1.863316,1
108,1.885351,1.80146,1
107,1.885351,1.837921,1
106,1.885351,1.844815,1
105,1.885351,1.856805,1
104,1.885351,1.822373,1
103,1.885351,1.790454,1
102,1.885351,1.783472,1
101,1.885351,1.858254,1
